CHR	START	STOP	REFSEQID	GENESYMBOL	STRAND
chr1	11873	14409	NR_046018	DDX11L1	+
chr1	69090	70008	NM_001005484	OR4F5	+
chr1	323891	328581	NR_028322	LOC100132287	+
chr1	323891	328581	NR_028325	LOC100132062	+
chr1	323891	328581	NR_028327	LOC100133331	+
chr1	367658	368597	NM_001005221	OR4F29	+
chr1	367658	368597	NM_001005224	OR4F3	+
chr1	367658	368597	NM_001005277	OR4F16	+
chr1	762970	794826	NR_015368	LINC01128	+
chr1	861120	879961	NM_152486	SAMD11	+
chr1	895966	901099	NM_198317	KLHL17	+
chr1	901876	910484	NM_001160184	PLEKHN1	+
chr1	901876	910484	NM_032129	PLEKHN1	+
chr1	948846	949919	NM_005101	ISG15	+
chr1	955502	991499	NM_198576	AGRN	+
chr1	1072396	1079434	NR_038869	LOC254099	+
chr1	1102483	1102578	NR_029639	MIR200B	+
chr1	1103242	1103332	NR_029834	MIR200A	+
chr1	1104384	1104467	NR_029957	MIR429	+
chr1	1109285	1133313	NM_001130045	TTLL10	+
chr1	1115076	1121243	NM_153254	TTLL10	+
chr1	1167628	1170420	NM_080605	B3GALT6	+
chr1	1215815	1227409	NM_001130413	SCNN1D	+
chr1	1215815	1227409	NR_037668	SCNN1D	+
chr1	1243993	1247057	NM_153339	PUSL1	+
chr1	1260142	1264276	NM_001029885	GLTPD1	+
chr1	1266725	1269844	NM_152228	TAS1R3	+
chr1	1334909	1337426	NR_015434	LOC148413	+
chr1	1361507	1363167	NM_001146685	TMEM88B	+
chr1	1370902	1378262	NM_022834	VWA1	+
chr1	1370902	1378262	NM_199121	VWA1	+
chr1	1385068	1405538	NM_001039211	ATAD3C	+
chr1	1407163	1431582	NM_031921	ATAD3B	+
chr1	1447522	1470067	NM_001170535	ATAD3A	+
chr1	1447522	1470067	NM_018188	ATAD3A	+
chr1	1447909	1470067	NM_001170536	ATAD3A	+
chr1	1550794	1565990	NM_001170686	MIB2	+
chr1	1550794	1565990	NM_001170687	MIB2	+
chr1	1550794	1565990	NM_001170688	MIB2	+
chr1	1550794	1565990	NM_080875	MIB2	+
chr1	1550794	1565990	NR_033183	MIB2	+
chr1	1551244	1565990	NM_001170689	MIB2	+
chr1	1567559	1570030	NM_006983	MMP23B	+
chr1	1568158	1570027	NR_002946	MMP23A	+
chr1	1631377	1633247	NR_002946	MMP23A	+
chr1	1846265	1848733	NM_138705	CALML6	+
chr1	1950767	1962192	NM_000815	GABRD	+
chr1	1981908	2116834	NM_002744	PRKCZ	+
chr1	2005085	2116834	NM_001033581	PRKCZ	+
chr1	2005424	2116834	NM_001242874	PRKCZ	+
chr1	2036154	2116834	NM_001033582	PRKCZ	+
chr1	2160133	2241652	NM_003036	SKI	+
chr1	2323213	2336885	NM_007033	RER1	+
chr1	2407753	2436964	NM_014638	PLCH2	+
chr1	2487804	2495267	NM_003820	TNFRSF14	+
chr1	2517898	2522908	NR_036637	FAM213B	+
chr1	2517898	2522908	NR_036638	FAM213B	+
chr1	2518188	2522908	NM_001195736	FAM213B	+
chr1	2518188	2522908	NM_001195737	FAM213B	+
chr1	2518188	2522908	NM_001195738	FAM213B	+
chr1	2518188	2522908	NM_001195740	FAM213B	+
chr1	2518188	2522908	NM_001195741	FAM213B	+
chr1	2518188	2522908	NM_152371	FAM213B	+
chr1	2938045	2939467	NM_080431	ACTRT2	+
chr1	2985741	3355185	NM_022114	PRDM16	+
chr1	2985741	3355185	NM_199454	PRDM16	+
chr1	3044538	3044599	NR_036215	MIR4251	+
chr1	3371146	3397677	NM_014448	ARHGEF16	+
chr1	3541555	3546694	NM_182752	TPRG1L	+
chr1	3569128	3652765	NM_001204184	TP73	+
chr1	3569128	3652765	NM_001204185	TP73	+
chr1	3569128	3652765	NM_001204186	TP73	+
chr1	3569128	3652765	NM_001204187	TP73	+
chr1	3569128	3652765	NM_001204188	TP73	+
chr1	3569128	3652765	NM_005427	TP73	+
chr1	3607235	3652765	NM_001126240	TP73	+
chr1	3607235	3652765	NM_001126241	TP73	+
chr1	3607235	3652765	NM_001126242	TP73	+
chr1	3607235	3652765	NM_001204189	TP73	+
chr1	3607235	3652765	NM_001204190	TP73	+
chr1	3607235	3652765	NM_001204191	TP73	+
chr1	3614609	3652765	NM_001204192	TP73	+
chr1	3668964	3688209	NM_152492	CCDC27	+
chr1	3689351	3692546	NM_001163724	SMIM1	+
chr1	3773844	3801993	NM_004402	DFFB	+
chr1	3816967	3832011	NR_024455	LOC100133612	+
chr1	4000671	4012643	NR_040065	LOC728716	+
chr1	4472110	4484744	NR_027088	LOC284661	+
chr1	4715104	4837854	NM_001042478	AJAP1	+
chr1	4715104	4843851	NM_018836	AJAP1	+
chr1	5624130	5624203	NR_039612	MIR4417	+
chr1	6052357	6161253	NM_001199861	KCNAB2	+
chr1	6086072	6161253	NM_003636	KCNAB2	+
chr1	6086072	6161253	NM_172130	KCNAB2	+
chr1	6094347	6161253	NM_001199860	KCNAB2	+
chr1	6105980	6161253	NM_001199862	KCNAB2	+
chr1	6106173	6161253	NM_001199863	KCNAB2	+
chr1	6266188	6281359	NM_207396	RNF207	+
chr1	6304251	6305638	NM_001024598	HES3	+
chr1	6484847	6521004	NM_031475	ESPN	+
chr1	6615337	6639817	NM_138697	TAS1R1	+
chr1	6615337	6639817	NM_177540	TAS1R1	+
chr1	6640062	6649340	NM_005341	ZBTB48	+
chr1	6673755	6684093	NM_153812	PHF13	+
chr1	6684924	6693642	NM_001195753	THAP3	+
chr1	6685209	6693642	NM_001195752	THAP3	+
chr1	6685209	6695646	NM_138350	THAP3	+
chr1	6845383	6932107	NM_001195563	CAMTA1	+
chr1	6845383	6948261	NM_001242701	CAMTA1	+
chr1	6845383	6948261	NR_038934	CAMTA1	+
chr1	6845383	7829766	NM_015215	CAMTA1	+
chr1	7831328	7841492	NM_004781	VAMP3	+
chr1	7844762	7905237	NM_016831	PER3	+
chr1	8021713	8045342	NM_001123377	PARK7	+
chr1	8021713	8045342	NM_007262	PARK7	+
chr1	8384389	8404227	NM_001080397	SLC45A1	+
chr1	8938893	8939943	NR_038351	ENO1-AS1	+
chr1	9005892	9035148	NM_001215	CA6	+
chr1	9294862	9331394	NM_004285	H6PD	+
chr1	9352940	9429590	NM_025106	SPSB1	+
chr1	9599527	9642831	NM_032315	SLC25A33	+
chr1	9648931	9665020	NM_001010866	TMEM201	+
chr1	9648931	9674935	NM_001130924	TMEM201	+
chr1	9711789	9789172	NM_005026	PIK3CD	+
chr1	10003485	10045556	NM_022787	NMNAT1	+
chr1	10057254	10076078	NM_052960	RBP7	+
chr1	10093040	10241296	NM_001105562	UBE4B	+
chr1	10093040	10241296	NM_006048	UBE4B	+
chr1	10270763	10368655	NM_183416	KIF1B	+
chr1	10270763	10441661	NM_015074	KIF1B	+
chr1	10459084	10480201	NM_002631	PGD	+
chr1	10490158	10502872	NM_199294	APITD1	+
chr1	10490158	10512060	NM_198544	APITD1-CORT	+
chr1	10490158	10512060	NM_199006	APITD1-CORT	+
chr1	10490803	10502872	NR_036462	APITD1	+
chr1	10490803	10512060	NM_001243768	APITD1-CORT	+
chr1	10490803	10512060	NR_037187	APITD1-CORT	+
chr1	10509775	10512060	NM_001302	CORT	+
chr1	10535002	10690815	NM_004565	PEX14	+
chr1	11072678	11085549	NM_007375	TARDBP	+
chr1	11249397	11256038	NM_021146	ANGPTL7	+
chr1	11333254	11348491	NM_013319	UBIAD1	+
chr1	11539294	11597640	NM_020780	PTCHD2	+
chr1	11714431	11723384	NM_183412	FBXO44	+
chr1	11714913	11723384	NM_001014765	FBXO44	+
chr1	11714913	11723384	NM_033182	FBXO44	+
chr1	11714913	11723384	NM_183413	FBXO44	+
chr1	11724149	11734409	NM_018438	FBXO6	+
chr1	11751780	11780336	NM_198545	DRAXIN	+
chr1	11796141	11810828	NM_001040194	AGTRAP	+
chr1	11796141	11810828	NM_001040195	AGTRAP	+
chr1	11796141	11810828	NM_001040196	AGTRAP	+
chr1	11796141	11810828	NM_001040197	AGTRAP	+
chr1	11796141	11810828	NM_020350	AGTRAP	+
chr1	11866152	11903201	NM_001286	CLCN6	+
chr1	11900375	11907673	NR_037806	NPPA-AS1	+
chr1	11994723	12035599	NM_000302	PLOD1	+
chr1	12040237	12073572	NM_001127660	MFN2	+
chr1	12040237	12073572	NM_014874	MFN2	+
chr1	12079298	12092106	NM_021933	MIIP	+
chr1	12123433	12204264	NM_001243	TNFRSF8	+
chr1	12227059	12269277	NM_001066	TNFRSF1B	+
chr1	12251761	12251839	NR_039775	MIR4632	+
chr1	12290112	12572098	NM_015378	VPS13D	+
chr1	12290112	12572098	NM_018156	VPS13D	+
chr1	12567299	12567451	NR_003022	SNORA59B	+
chr1	12567299	12567451	NR_003025	SNORA59A	+
chr1	12704565	12727097	NM_001013630	AADACL4	+
